Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.745,0.03,0.3875
1,0.61,0.03,0.32
2,0.66,0.045,0.35250000000000004
3,0.63,0.04,0.335
4,0.68,0.035,0.35750000000000004
5,0.675,0.035,0.35500000000000004
6,0.675,0.035,0.35500000000000004
7,0.67,0.03,0.35000000000000003
8,0.7,0.05,0.375
9,0.725,0.035,0.38
10,0.745,0.03,0.3875
11,0.775,0.035,0.405
12,0.795,0.035,0.41500000000000004
13,0.76,0.045,0.4025
14,0.735,0.055,0.395
15,0.805,0.055,0.43000000000000005
16,0.79,0.045,0.41750000000000004
17,0.805,0.045,0.42500000000000004
18,0.775,0.035,0.405
19,0.73,0.04,0.385
20,0.745,0.04,0.3925
21,0.72,0.05,0.385
22,0.755,0.045,0.4
23,0.725,0.045,0.385
24,0.775,0.055,0.41500000000000004
25,0.805,0.06,0.4325
26,0.78,0.035,0.40750000000000003
27,0.695,0.05,0.3725
28,0.73,0.04,0.385
29,0.73,0.055,0.3925
30,0.74,0.035,0.3875
31,0.74,0.04,0.39
32,0.79,0.04,0.41500000000000004
33,0.8,0.04,0.42000000000000004
34,0.775,0.035,0.405
35,0.71,0.045,0.3775
36,0.73,0.035,0.3825
37,0.745,0.03,0.3875
38,0.695,0.025,0.36
39,0.715,0.03,0.3725
40,0.755,0.04,0.3975
41,0.705,0.025,0.365
42,0.59,0.04,0.315
43,0.565,0.04,0.3025
44,0.6,0.035,0.3175
45,0.685,0.025,0.35500000000000004
46,0.665,0.015,0.34
47,0.685,0.02,0.35250000000000004
48,0.725,0.025,0.375
49,0.71,0.03,0.37
50,0.68,0.03,0.35500000000000004
