Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.72,0.69,0.705
1,0.635,0.61,0.6225
2,0.51,0.585,0.5475
3,0.52,0.51,0.515
4,0.44,0.55,0.495
5,0.385,0.55,0.4675
6,0.465,0.55,0.5075000000000001
7,0.44,0.535,0.48750000000000004
8,0.425,0.475,0.44999999999999996
9,0.375,0.505,0.44
10,0.255,0.47,0.3625
11,0.25,0.46,0.355
12,0.16,0.45,0.305
13,0.16,0.385,0.2725
14,0.175,0.41,0.2925
15,0.14,0.405,0.2725
16,0.17,0.4,0.28500000000000003
17,0.21,0.395,0.3025
18,0.185,0.365,0.275
19,0.165,0.28,0.22250000000000003
20,0.19,0.21,0.2
21,0.115,0.29,0.20249999999999999
22,0.105,0.315,0.21
23,0.085,0.295,0.19
24,0.09,0.29,0.19
25,0.08,0.28,0.18000000000000002
26,0.085,0.28,0.18250000000000002
27,0.09,0.33,0.21000000000000002
28,0.08,0.38,0.23
29,0.09,0.37,0.22999999999999998
30,0.115,0.39,0.2525
31,0.08,0.46,0.27
32,0.085,0.415,0.25
33,0.09,0.4,0.245
34,0.075,0.36,0.2175
35,0.075,0.315,0.195
36,0.065,0.34,0.2025
37,0.08,0.35,0.215
38,0.055,0.36,0.2075
39,0.06,0.355,0.2075
40,0.08,0.39,0.23500000000000001
41,0.095,0.35,0.22249999999999998
42,0.06,0.33,0.195
43,0.08,0.285,0.1825
44,0.07,0.32,0.195
45,0.06,0.22,0.14
46,0.06,0.125,0.0925
47,0.075,0.175,0.125
48,0.06,0.165,0.1125
49,0.05,0.19,0.12
50,0.09,0.185,0.1375
